t=0 s=0 time=0.000124
t=1 s=1 time=0.000461
t=2 s=2 time=0.000444
t=3 s=3 time=0.000358
t=3 s=1 time=0.000328
t=4 s=4 time=0.000315
t=4 s=2 time=0.000318
t=4 s=1 time=0.000299
t=5 s=5 time=0.000299
t=5 s=3 time=0.000292
t=5 s=2 time=0.000292
t=6 s=6 time=0.000262
t=6 s=4 time=0.000292
t=6 s=1 time=0.000298
t=7 s=7 time=0.000285
t=7 s=5 time=0.000332
t=7 s=2 time=0.000341
t=8 s=8 time=0.000439
t=8 s=6 time=0.000372
t=8 s=3 time=0.0004
t=8 s=2 time=0.000408
t=8 s=1 time=0.000313
t=9 s=9 time=0.000294
t=9 s=7 time=0.000298
t=9 s=2 time=0.000319
t=10 s=10 time=0.000281
t=10 s=8 time=0.000402
t=10 s=3 time=0.000406
t=10 s=2 time=0.000422
t=11 s=11 time=0.000352
t=11 s=9 time=0.000305
t=11 s=4 time=0.000334
t=11 s=3 time=0.000401
t=11 s=2 time=0.000412
t=12 s=12 time=0.000352
t=12 s=10 time=0.000285
t=12 s=3 time=0.000303
t=13 s=13 time=0.000313
t=13 s=11 time=0.000294
t=13 s=4 time=0.000305
t=14 s=14 time=0.00028
t=14 s=12 time=0.000282
t=14 s=5 time=0.000301
t=14 s=3 time=0.000304
t=15 s=15 time=0.000337
t=15 s=13 time=0.00038
t=15 s=4 time=0.000411
t=16 s=16 time=0.000439
t=16 s=14 time=0.000318
t=16 s=5 time=0.000337
t=16 s=2 time=0.000337
t=16 s=1 time=0.000404
t=17 s=17 time=0.00042
t=17 s=15 time=0.000419
t=17 s=6 time=0.000333
t=17 s=3 time=0.000345
t=17 s=2 time=0.000338
t=18 s=18 time=0.000307
t=18 s=16 time=0.000396
t=18 s=5 time=0.000364
t=18 s=4 time=0.000324
t=18 s=3 time=0.000342
t=18 s=2 time=0.000314
t=19 s=19 time=0.000325
t=19 s=17 time=0.000375
t=19 s=6 time=0.000377
t=19 s=5 time=0.000377
t=19 s=4 time=0.000354
t=19 s=3 time=0.000388
t=19 s=2 time=0.000373
t=20 s=20 time=0.000412
t=20 s=18 time=0.000372
t=20 s=7 time=0.000458
t=20 s=6 time=0.00041
t=20 s=5 time=0.000343
t=20 s=3 time=0.000365
t=20 s=2 time=0.000341
t=21 s=21 time=0.000333
t=21 s=19 time=0.000309
t=21 s=6 time=0.000381
t=21 s=5 time=0.000371
t=21 s=4 time=0.000408
t=21 s=3 time=0.000395
t=22 s=22 time=0.000324
t=22 s=20 time=0.000316
t=22 s=7 time=0.000378
t=22 s=6 time=0.000371
t=22 s=5 time=0.000433
t=22 s=4 time=0.000371
t=22 s=3 time=0.000354
t=22 s=2 time=0.000329
t=23 s=23 time=0.000302
t=23 s=21 time=0.000292
t=23 s=8 time=0.000413
t=23 s=7 time=0.000444
t=23 s=6 time=0.000534
t=23 s=3 time=0.000456
t=24 s=24 time=0.000336
t=24 s=22 time=0.000301
t=24 s=7 time=0.000392
t=24 s=5 time=0.000382
t=24 s=4 time=0.000509
t=24 s=3 time=0.000445
t=25 s=25 time=0.000423
t=25 s=23 time=0.000345
t=25 s=8 time=0.000457
t=25 s=6 time=0.000487
t=25 s=5 time=0.000525
t=26 s=26 time=0.000367
t=26 s=24 time=0.000426
t=26 s=9 time=0.000507
t=26 s=7 time=0.000508
t=26 s=6 time=0.00044
t=26 s=4 time=0.000455
t=26 s=3 time=0.000468
t=27 s=27 time=0.000462
t=27 s=25 time=0.000379
t=27 s=8 time=0.000426
t=27 s=5 time=0.000495
t=27 s=4 time=0.000546
t=28 s=28 time=0.000389
t=28 s=26 time=0.000317
t=28 s=9 time=0.000434
t=28 s=6 time=0.000431
t=28 s=5 time=0.000496
t=28 s=4 time=0.000492
t=29 s=29 time=0.000477
t=29 s=27 time=0.000397
t=29 s=10 time=0.000405
t=29 s=6 time=0.000433
t=30 s=30 time=0.000357
t=30 s=28 time=0.000318
t=30 s=9 time=0.000416
t=30 s=8 time=0.000402
t=30 s=7 time=0.000445
t=30 s=5 time=0.000499
t=31 s=31 time=0.000321
t=31 s=29 time=0.000329
t=31 s=10 time=0.000413
t=31 s=9 time=0.000415
t=31 s=8 time=0.000446
t=31 s=6 time=0.000431
t=31 s=5 time=0.000457
t=32 s=32 time=0.000466
t=32 s=30 time=0.000406
t=32 s=11 time=0.00051
t=32 s=10 time=0.000456
t=32 s=9 time=0.000464
t=32 s=7 time=0.000462
t=32 s=6 time=0.000453
t=32 s=2 time=0.00036
t=32 s=1 time=0.000326
t=33 s=33 time=0.000357
t=33 s=31 time=0.000345
t=33 s=10 time=0.000569
t=33 s=9 time=0.000676
t=33 s=8 time=0.000693
t=33 s=7 time=0.000518
t=33 s=3 time=0.000528
t=33 s=2 time=0.000433
t=34 s=34 time=0.000372
t=34 s=32 time=0.000381
t=34 s=11 time=0.000489
t=34 s=10 time=0.000537
t=34 s=9 time=0.000666
t=34 s=8 time=0.000567
t=34 s=6 time=0.000553
t=34 s=4 time=0.000514
t=34 s=3 time=0.000405
t=35 s=35 time=0.000333
t=35 s=33 time=0.000317
t=35 s=12 time=0.000486
t=35 s=11 time=0.000481
t=35 s=10 time=0.00058
t=35 s=7 time=0.000444
t=35 s=5 time=0.000491
t=35 s=4 time=0.000463
t=35 s=3 time=0.000581
t=35 s=2 time=0.000474
t=36 s=36 time=0.000477
t=36 s=34 time=0.000385
t=36 s=11 time=0.000528
t=36 s=9 time=0.000618
t=36 s=8 time=0.000735
t=36 s=7 time=0.000563
t=36 s=6 time=0.00058
t=36 s=5 time=0.000796
t=36 s=4 time=0.000832
t=36 s=3 time=0.000689
t=36 s=2 time=0.000397
t=37 s=37 time=0.000361
t=37 s=35 time=0.000319
t=37 s=12 time=0.000568
t=37 s=10 time=0.000576
t=37 s=9 time=0.000618
t=37 s=8 time=0.00058
t=37 s=7 time=0.000538
t=37 s=6 time=0.000476
t=37 s=5 time=0.000571
t=37 s=4 time=0.000707
t=37 s=3 time=0.000631
t=38 s=38 time=0.000349
t=38 s=36 time=0.000318
t=38 s=13 time=0.000509
t=38 s=11 time=0.000523
t=38 s=10 time=0.000612
t=38 s=8 time=0.000617
t=38 s=7 time=0.000716
t=38 s=6 time=0.000644
t=38 s=5 time=0.000731
t=38 s=2 time=0.000633
t=39 s=39 time=0.000422
t=39 s=37 time=0.000384
t=39 s=12 time=0.000526
t=39 s=9 time=0.000706
t=39 s=8 time=0.000861
t=39 s=7 time=0.000832
t=39 s=6 time=0.000624
t=39 s=4 time=0.000786
t=39 s=3 time=0.000658
t=40 s=40 time=0.000427
t=40 s=38 time=0.000405
t=40 s=13 time=0.000583
t=40 s=10 time=0.000754
t=40 s=9 time=0.000863
t=40 s=8 time=0.000774
t=40 s=7 time=0.00067
t=40 s=6 time=0.000813
t=40 s=5 time=0.000937
t=40 s=4 time=0.000736
t=40 s=3 time=0.000745
t=40 s=2 time=0.000513
t=41 s=41 time=0.000506
t=41 s=39 time=0.00038
t=41 s=14 time=0.000591
t=41 s=11 time=0.000637
t=41 s=10 time=0.000725
t=41 s=9 time=0.000608
t=41 s=8 time=0.000649
t=41 s=7 time=0.00061
t=41 s=3 time=0.00083
t=42 s=42 time=0.000336
t=42 s=40 time=0.000334
t=42 s=13 time=0.000559
t=42 s=12 time=0.000599
t=42 s=11 time=0.000558
t=42 s=10 time=0.000658
t=42 s=9 time=0.000898
t=42 s=8 time=0.000879
t=42 s=7 time=0.000749
t=42 s=6 time=0.000758
t=42 s=5 time=0.000874
t=42 s=4 time=0.001125
t=42 s=3 time=0.000805
t=43 s=43 time=0.00047
t=43 s=41 time=0.000464
t=43 s=14 time=0.000558
t=43 s=13 time=0.00058
t=43 s=12 time=0.000578
t=43 s=11 time=0.00059
t=43 s=10 time=0.001307
t=43 s=9 time=0.00097
t=43 s=8 time=0.000693
t=43 s=6 time=0.000743
t=43 s=5 time=0.00089
t=43 s=4 time=0.001055
t=43 s=3 time=0.000951
t=44 s=44 time=0.000364
t=44 s=42 time=0.000362
t=44 s=15 time=0.001042
t=44 s=14 time=0.000728
t=44 s=13 time=0.000689
t=44 s=11 time=0.000647
t=44 s=10 time=0.000693
t=44 s=7 time=0.00082
t=44 s=6 time=0.000766
t=44 s=4 time=0.001374
t=44 s=3 time=0.000934
t=45 s=45 time=0.000371
t=45 s=43 time=0.00036
t=45 s=14 time=0.000602
t=45 s=13 time=0.000595
t=45 s=12 time=0.000822
t=45 s=11 time=0.000731
t=45 s=9 time=0.000752
t=45 s=8 time=0.001151
t=45 s=7 time=0.000746
t=45 s=6 time=0.000899
t=45 s=5 time=0.001255
t=45 s=4 time=0.001157
t=46 s=46 time=0.000406
t=46 s=44 time=0.000371
t=46 s=15 time=0.000621
t=46 s=14 time=0.000612
t=46 s=13 time=0.000819
t=46 s=12 time=0.000814
t=46 s=10 time=0.000819
t=46 s=9 time=0.000955
t=46 s=8 time=0.000741
t=46 s=7 time=0.001436
t=46 s=6 time=0.001055
t=46 s=4 time=0.001559
t=46 s=3 time=0.001092
t=47 s=47 time=0.000372
t=47 s=45 time=0.000365
t=47 s=16 time=0.000623
t=47 s=15 time=0.00065
t=47 s=14 time=0.000997
t=47 s=11 time=0.000768
t=47 s=10 time=0.001143
t=47 s=8 time=0.000776
t=47 s=7 time=0.000854
t=47 s=5 time=0.001325
t=47 s=4 time=0.00143
t=48 s=48 time=0.000421
t=48 s=46 time=0.000432
t=48 s=15 time=0.000721
t=48 s=13 time=0.000729
t=48 s=12 time=0.000913
t=48 s=11 time=0.000871
t=48 s=9 time=0.001071
t=48 s=8 time=0.000983
t=48 s=7 time=0.00067
t=48 s=6 time=0.001249
t=48 s=5 time=0.001365
t=48 s=4 time=0.000991
t=48 s=3 time=0.001321
t=49 s=49 time=0.000421
t=49 s=47 time=0.000389
t=49 s=16 time=0.000718
t=49 s=14 time=0.000778
t=49 s=13 time=0.000929
t=49 s=12 time=0.000764
t=49 s=10 time=0.000771
t=49 s=9 time=0.000828
t=49 s=7 time=0.001145
t=49 s=5 time=0.001264
t=49 s=4 time=0.002478
t=50 s=50 time=0.000424
t=50 s=48 time=0.000417
t=50 s=17 time=0.00072
t=50 s=15 time=0.000708
t=50 s=14 time=0.00075
t=50 s=11 time=0.000806
t=50 s=8 time=0.000809
t=50 s=6 time=0.00162
t=50 s=5 time=0.001502
t=50 s=3 time=0.00163
t=51 s=51 time=0.000411
t=51 s=49 time=0.000417
t=51 s=16 time=0.0007
t=51 s=13 time=0.000787
t=51 s=12 time=0.001118
t=51 s=11 time=0.00102
t=51 s=10 time=0.000848
t=51 s=9 time=0.000807
t=51 s=7 time=0.00114
t=51 s=6 time=0.001824
t=51 s=5 time=0.001452
t=51 s=4 time=0.002476
t=52 s=52 time=0.000456
t=52 s=50 time=0.000393
t=52 s=17 time=0.000772
t=52 s=14 time=0.000835
t=52 s=13 time=0.001092
t=52 s=12 time=0.000863
t=52 s=8 time=0.000966
t=52 s=7 time=0.001363
t=52 s=6 time=0.002145
t=52 s=5 time=0.001704
t=52 s=4 time=0.002037
t=53 s=53 time=0.000419
t=53 s=51 time=0.000397
t=53 s=18 time=0.000772
t=53 s=14 time=0.000787
t=53 s=11 time=0.000934
t=53 s=10 time=0.000897
t=53 s=9 time=0.000851
t=53 s=7 time=0.001584
t=53 s=6 time=0.002204
t=53 s=5 time=0.002415
t=54 s=54 time=0.000497
t=54 s=52 time=0.000435
t=54 s=17 time=0.000824
t=54 s=16 time=0.000833
t=54 s=15 time=0.001008
t=54 s=13 time=0.00084
t=54 s=12 time=0.001053
t=54 s=11 time=0.001309
t=54 s=10 time=0.001179
t=54 s=9 time=0.00083
t=54 s=8 time=0.000742
t=54 s=7 time=0.0016
t=54 s=6 time=0.002159
t=54 s=5 time=0.003221
t=54 s=4 time=0.003761
t=55 s=55 time=0.000656
t=55 s=53 time=0.00047
t=55 s=18 time=0.000772
t=55 s=17 time=0.001092
t=55 s=16 time=0.000814
t=55 s=14 time=0.000859
t=55 s=13 time=0.001165
