t=0 s=0 time=9.3e-05
t=1 s=1 time=0.000397
t=2 s=2 time=0.000316
t=2 s=1 time=0.000294
t=3 s=3 time=0.000318
t=4 s=4 time=0.000298
t=4 s=2 time=0.00026
t=5 s=5 time=0.000297
t=6 s=6 time=0.000336
t=6 s=1 time=0.000349
t=7 s=7 time=0.000343
t=7 s=3 time=0.000385
t=8 s=8 time=0.000684
t=8 s=4 time=0.000337
t=8 s=2 time=0.000361
t=8 s=1 time=0.000388
t=9 s=9 time=0.00037
t=9 s=5 time=0.000408
t=9 s=2 time=0.000426
t=10 s=10 time=0.000413
t=10 s=6 time=0.000399
t=10 s=3 time=0.000387
t=10 s=2 time=0.000366
t=11 s=11 time=0.000436
t=11 s=7 time=0.000368
t=11 s=4 time=0.000351
t=11 s=3 time=0.000523
t=12 s=12 time=0.000298
t=12 s=8 time=0.000305
t=12 s=1 time=0.00026
t=13 s=13 time=0.000309
t=13 s=9 time=0.000273
t=13 s=4 time=0.000324
t=13 s=2 time=0.000304
t=14 s=14 time=0.000295
t=14 s=10 time=0.000272
t=14 s=5 time=0.000347
t=14 s=3 time=0.000354
t=14 s=2 time=0.000335
t=15 s=15 time=0.000284
t=15 s=11 time=0.000687
t=15 s=4 time=0.000377
t=15 s=3 time=0.000361
t=16 s=16 time=0.000281
t=16 s=12 time=0.000282
t=16 s=6 time=0.000319
t=16 s=5 time=0.000372
t=16 s=3 time=0.000335
t=16 s=2 time=0.000289
t=16 s=1 time=0.000302
t=17 s=17 time=0.000263
t=17 s=13 time=0.000272
t=17 s=6 time=0.000345
t=17 s=4 time=0.000392
t=17 s=3 time=0.000338
t=17 s=2 time=0.00029
t=18 s=18 time=0.000672
t=18 s=14 time=0.000286
t=18 s=7 time=0.000339
t=18 s=5 time=0.000366
t=18 s=4 time=0.000483
t=18 s=3 time=0.000439
t=18 s=2 time=0.000378
t=19 s=19 time=0.000337
t=19 s=15 time=0.000297
t=19 s=5 time=0.000385
t=19 s=4 time=0.000449
t=20 s=20 time=0.00036
t=20 s=16 time=0.000348
t=20 s=6 time=0.000365
t=20 s=5 time=0.000406
t=20 s=3 time=0.000901
t=20 s=2 time=0.000402
t=21 s=21 time=0.000405
t=21 s=17 time=0.000382
t=21 s=6 time=0.000515
t=21 s=4 time=0.000483
t=21 s=3 time=0.000411
t=22 s=22 time=0.000351
t=22 s=18 time=0.00027
t=22 s=7 time=0.000468
t=22 s=6 time=0.000365
t=22 s=4 time=0.000402
t=22 s=3 time=0.00037
t=22 s=2 time=0.000328
t=23 s=23 time=0.000278
t=23 s=19 time=0.000298
t=23 s=8 time=0.000396
t=23 s=7 time=0.000969
t=23 s=5 time=0.000447
t=23 s=4 time=0.000485
t=24 s=24 time=0.000427
t=24 s=20 time=0.000316
t=24 s=5 time=0.000504
t=24 s=4 time=0.000455
t=24 s=3 time=0.000448
t=25 s=25 time=0.000394
t=25 s=21 time=0.000409
t=25 s=8 time=0.000473
