t=0 s=0 time=0.000128
t=1 s=1 time=0.000476
t=2 s=2 time=0.000359
t=2 s=1 time=0.000339
t=3 s=3 time=0.000396
t=4 s=4 time=0.000389
t=4 s=2 time=0.000386
t=4 s=1 time=0.000405
t=5 s=5 time=0.000381
t=5 s=2 time=0.000472
t=6 s=6 time=0.000404
t=6 s=3 time=0.000362
t=7 s=7 time=0.000383
t=8 s=8 time=0.000428
t=8 s=2 time=0.000393
t=9 s=9 time=0.000355
t=10 s=10 time=0.000359
t=11 s=11 time=0.000353
t=11 s=3 time=0.000302
t=12 s=12 time=0.000289
t=12 s=4 time=0.000269
t=12 s=1 time=0.000285
t=13 s=13 time=0.000284
t=13 s=5 time=0.000318
t=13 s=4 time=0.00029
t=13 s=2 time=0.000323
t=14 s=14 time=0.000278
t=14 s=6 time=0.000287
t=14 s=5 time=0.000292
t=14 s=3 time=0.000302
t=15 s=15 time=0.000295
t=15 s=7 time=0.000319
t=16 s=16 time=0.00037
t=16 s=8 time=0.000384
t=16 s=6 time=0.000413
t=16 s=5 time=0.000357
t=16 s=2 time=0.000342
t=16 s=1 time=0.000299
t=17 s=17 time=0.000283
t=17 s=9 time=0.000294
t=17 s=6 time=0.000319
t=17 s=2 time=0.000314
t=18 s=18 time=0.00037
t=18 s=10 time=0.000312
t=18 s=7 time=0.000312
t=18 s=4 time=0.000315
t=18 s=3 time=0.000307
t=18 s=2 time=0.000321
t=19 s=19 time=0.000309
t=19 s=11 time=0.000382
t=19 s=5 time=0.0004
t=19 s=4 time=0.000429
t=19 s=3 time=0.000435
t=20 s=20 time=0.000425
t=20 s=12 time=0.000962
t=20 s=6 time=0.000385
t=20 s=5 time=0.00041
t=20 s=3 time=0.000353
t=20 s=2 time=0.000287
t=21 s=21 time=0.000382
t=21 s=13 time=0.000374
t=21 s=6 time=0.000514
t=21 s=4 time=0.000581
t=21 s=3 time=0.000462
t=22 s=22 time=0.000418
t=22 s=14 time=0.000393
t=22 s=7 time=0.000366
t=22 s=5 time=0.000371
t=22 s=4 time=0.000467
t=22 s=3 time=0.000323
t=23 s=23 time=0.000307
t=23 s=15 time=0.000322
t=23 s=8 time=0.000356
t=23 s=7 time=0.000332
t=23 s=6 time=0.000389
t=23 s=5 time=0.000463
t=24 s=24 time=0.000428
t=24 s=16 time=0.000392
t=24 s=5 time=0.00037
t=24 s=4 time=0.000434
t=24 s=1 time=0.000407
t=25 s=25 time=0.00038
t=25 s=17 time=0.000405
t=25 s=8 time=0.000362
t=25 s=6 time=0.000413
t=25 s=5 time=0.000431
t=25 s=3 time=0.000435
t=25 s=2 time=0.00044
t=26 s=26 time=0.000379
t=26 s=18 time=0.000296
t=26 s=9 time=0.000327
t=26 s=7 time=0.000379
t=26 s=6 time=0.00043
t=26 s=5 time=0.000475
t=26 s=4 time=0.000583
t=26 s=3 time=0.000377
t=26 s=2 time=0.00035
t=27 s=27 time=0.000343
t=27 s=19 time=0.000332
t=27 s=5 time=0.000424
t=27 s=4 time=0.000464
t=28 s=28 time=0.000317
t=28 s=20 time=0.000309
t=28 s=10 time=0.000471
t=28 s=9 time=0.000384
t=28 s=6 time=0.000486
t=28 s=5 time=0.000624
t=28 s=3 time=0.000394
t=28 s=2 time=0.000331
t=29 s=29 time=0.000301
t=29 s=21 time=0.000354
t=29 s=10 time=0.000332
t=29 s=6 time=0.00056
t=29 s=3 time=0.000465
t=30 s=30 time=0.000406
t=30 s=22 time=0.000434
t=30 s=11 time=0.000427
t=30 s=8 time=0.00045
t=30 s=7 time=0.000564
t=30 s=6 time=0.000504
t=30 s=5 time=0.000498
t=30 s=4 time=0.000487
t=30 s=3 time=0.000424
t=31 s=31 time=0.000372
t=31 s=23 time=0.000365
t=31 s=9 time=0.000438
t=31 s=8 time=0.0007
t=31 s=7 time=0.000619
t=31 s=6 time=0.000488
t=31 s=5 time=0.000475
t=32 s=32 time=0.000575
t=32 s=24 time=0.000336
t=32 s=10 time=0.000402
t=32 s=9 time=0.000597
t=32 s=7 time=0.000491
t=32 s=6 time=0.000573
t=32 s=4 time=0.000454
t=32 s=3 time=0.00039
t=32 s=2 time=0.000363
t=32 s=1 time=0.000338
t=33 s=33 time=0.000373
t=33 s=25 time=0.00032
t=33 s=10 time=0.000594
t=33 s=8 time=0.000699
t=33 s=7 time=0.000558
t=33 s=5 time=0.000526
t=33 s=3 time=0.000489
t=33 s=2 time=0.000339
t=34 s=34 time=0.000315
t=34 s=26 time=0.000331
t=34 s=11 time=0.000459
t=34 s=9 time=0.000483
t=34 s=8 time=0.00049
t=34 s=6 time=0.000564
t=34 s=5 time=0.000622
t=34 s=4 time=0.000672
t=34 s=3 time=0.000536
t=34 s=2 time=0.000411
t=35 s=35 time=0.00038
t=35 s=27 time=0.000422
t=35 s=12 time=0.000558
t=35 s=11 time=0.000596
t=35 s=10 time=0.000593
t=35 s=9 time=0.000578
t=35 s=5 time=0.000583
t=35 s=4 time=0.000553
t=36 s=36 time=0.000339
t=36 s=28 time=0.000365
t=36 s=9 time=0.000629
t=36 s=8 time=0.000736
t=36 s=7 time=0.000657
t=36 s=6 time=0.000726
t=36 s=5 time=0.001052
t=36 s=4 time=0.000642
t=36 s=3 time=0.000595
t=36 s=2 time=0.000453
t=37 s=37 time=0.000387
t=37 s=29 time=0.000388
t=37 s=12 time=0.000483
t=37 s=10 time=0.000565
t=37 s=9 time=0.000587
t=37 s=8 time=0.000618
t=37 s=7 time=0.000625
t=37 s=6 time=0.000757
t=37 s=5 time=0.00055
t=37 s=4 time=0.000636
t=37 s=3 time=0.000618
t=38 s=38 time=0.000387
t=38 s=30 time=0.000401
t=38 s=13 time=0.000477
t=38 s=11 time=0.000567
t=38 s=10 time=0.000565
t=38 s=9 time=0.000571
t=38 s=8 time=0.000628
t=38 s=7 time=0.000622
t=38 s=6 time=0.000622
t=38 s=5 time=0.000648
t=38 s=4 time=0.000602
t=39 s=39 time=0.000357
t=39 s=31 time=0.000345
t=39 s=9 time=0.000582
t=39 s=8 time=0.000706
t=39 s=7 time=0.000589
t=40 s=40 time=0.00047
t=40 s=32 time=0.000446
t=40 s=14 time=0.000547
t=40 s=13 time=0.000485
t=40 s=10 time=0.00061
t=40 s=9 time=0.000857
t=40 s=8 time=0.000577
t=40 s=7 time=0.000549
t=40 s=6 time=0.000736
t=40 s=5 time=0.000591
t=40 s=3 time=0.000657
t=40 s=2 time=0.000534
t=41 s=41 time=0.000443
t=41 s=33 time=0.000365
t=41 s=14 time=0.000558
t=41 s=10 time=0.000873
t=41 s=9 time=0.000824
t=41 s=8 time=0.00075
t=41 s=7 time=0.000676
t=41 s=3 time=0.000751
t=42 s=42 time=0.000492
t=42 s=34 time=0.00034
t=42 s=15 time=0.000475
t=42 s=12 time=0.000538
t=42 s=11 time=0.000731
t=42 s=10 time=0.000591
t=42 s=9 time=0.000687
t=42 s=8 time=0.000857
t=42 s=7 time=0.000629
t=42 s=6 time=0.000667
t=42 s=5 time=0.000694
t=42 s=4 time=0.001009
t=42 s=3 time=0.001226
t=43 s=43 time=0.000365
t=43 s=35 time=0.000345
t=43 s=13 time=0.000547
t=43 s=12 time=0.000754
t=43 s=11 time=0.000625
t=43 s=10 time=0.000711
t=43 s=9 time=0.000882
t=43 s=8 time=0.000611
t=43 s=6 time=0.000686
t=43 s=5 time=0.000664
t=43 s=4 time=0.000855
t=44 s=44 time=0.000353
t=44 s=36 time=0.000329
t=44 s=14 time=0.000545
t=44 s=13 time=0.000723
t=44 s=11 time=0.000637
t=44 s=10 time=0.00067
t=44 s=9 time=0.000712
t=44 s=8 time=0.000693
t=44 s=7 time=0.000919
t=44 s=6 time=0.000739
t=44 s=5 time=0.000628
t=44 s=4 time=0.000918
t=44 s=3 time=0.001143
t=44 s=2 time=0.000556
t=45 s=45 time=0.00037
t=45 s=37 time=0.000399
t=45 s=14 time=0.000638
t=45 s=12 time=0.000837
t=45 s=11 time=0.000663
t=45 s=9 time=0.000665
t=45 s=8 time=0.000828
t=45 s=7 time=0.000669
t=45 s=6 time=0.000632
t=45 s=5 time=0.000735
t=45 s=4 time=0.000931
t=45 s=3 time=0.001118
t=46 s=46 time=0.000418
t=46 s=38 time=0.000402
t=46 s=15 time=0.000635
t=46 s=13 time=0.000732
t=46 s=12 time=0.000744
t=46 s=10 time=0.000756
t=46 s=9 time=0.000728
t=46 s=8 time=0.000761
t=46 s=7 time=0.000679
t=46 s=6 time=0.000634
t=46 s=5 time=0.000901
t=46 s=4 time=0.001313
t=47 s=47 time=0.000454
t=47 s=39 time=0.000402
t=47 s=16 time=0.000668
t=47 s=15 time=0.000769
t=47 s=14 time=0.000872
t=47 s=13 time=0.000764
t=47 s=9 time=0.000774
t=47 s=8 time=0.000953
t=47 s=7 time=0.000808
t=48 s=48 time=0.000383
t=48 s=40 time=0.000365
t=48 s=13 time=0.000686
t=48 s=12 time=0.0007
t=48 s=11 time=0.000692
t=48 s=10 time=0.000738
t=48 s=9 time=0.001123
t=48 s=8 time=0.000943
t=48 s=7 time=0.000971
t=48 s=6 time=0.001758
